shortnam,lat_abst,euro1900,avexpr,logpgp95,logem4
SLV,.15000001,20,5,7.9480319,4.3579903
SOM,.11111111,0,3,,
STP,.011111111,100,8.409091,,
SUR,.044444446,1,4.681818,8.0100002,3.4713452
SVK,.53777778,100,,8.8522358,
SVN,.51111114,,,9.3001814,
SWE,.68888891,100,9.5,9.8663044,
SWZ,.2922222,0,,8.1077204,
SYR,.3888889,0,5.818182,8.0294333,
TCD,.16666667,0,,6.8351846,5.6347895
TGO,.088888891,0,6.909091,7.2225661,6.5042882
THA,.16666667,0,7.6363635,8.774931,4.9416423
TJK,.43333334,,,6.8875527,
TKM,.44444445,,,7.6401234,
TTO,.12222222,40,7.4545455,8.7687302,4.4426513
TUN,.37777779,3,6.4545455,8.4826021,4.1431346
TUR,.43333334,0,7.4545455,8.6411791,
TWN,,0,9.227273,,
TZA,.06666667,0,6.6363635,6.253829,5.6347895
UGA,.011111111,0,4.4545455,6.9660244,5.6347895
UKR,.54444444,100,,7.8119736,
URY,.36666667,60.000004,7,9.0312138,4.2626801
USA,.42222223,87.5,10,10.21574,2.7080503
UZB,.45555556,,,7.8079166,
VEN,.088888891,20,7.1363635,9.0710783,4.3579903
VNM,.17777778,0,6.409091,7.2793188,4.9416423
YEM,.16666667,0,6.3636365,6.6463904,
YUG,.48888889,100,6.318182,,
ZAF,.32222223,22,6.8636365,8.885994,2.74084
ZAR,0,8,3.5,6.8669333,5.480639
ZMB,.16666667,3,6.6363635,6.8134446,
ZWE,.22222222,7.1999998,6,7.6962128,
