schoolname,averageclasssize,year,grade,enroll,schoolid,mathscore,x,pctdisability,pctEL,pctblack,pcthisp,pctwhite
P.S./I.S. 323,24.5,2011,3,49,323,-1.558857257299935,-15.5,.10638298,.021276595,87.234047,12.765958,0
P.S./I.S. 323,23.5,2012,3,47,323,-1.049968981911792,14.5,.13333334,.022222223,88.888893,11.111112,0
P.S./I.S. 323,29,2013,3,29,323,.4913661699495411,-3.5,.034482758,.034482758,75.862068,20.689655,0
P.S./I.S. 323,28,2009,4,28,323,-.5794761701279187,-4.5,.24242425,0,75.757576,21.212122,3.030303
P.S./I.S. 323,23.5,2010,4,47,323,-.8809866638638133,14.5,.2037037,0,85.185188,14.814815,0
P.S./I.S. 323,24.5,2012,4,49,323,-1.802443823345551,-15.5,.14583333,.041666668,83.333328,16.666668,0
P.S./I.S. 323,29,2009,5,29,323,-1.164830597808084,-3.5,.22222222,0,85.185188,14.814815,0
P.S./I.S. 323,16,2010,5,32,323,.014777620081857,-.5,.17647059,0,79.411766,20.588236,0
P.S./I.S. 323,21.5,2011,5,43,323,-.9290538023088254,10.5,.23999999,.02,80,20,0
P.S./I.S. 323,20.70000076293945,2009,6,62,323,-.3373015517844825,-2.5,.18461539,.061538462,83.076927,15.384616,1.5384616
P.S./I.S. 323,20.5,2010,6,41,323,-1.277906562319705,8.5,.34545454,.036363635,81.818184,18.181818,0
The Fresh Creek School,22,2012,3,22,325,-.2451223492759823,-10.5,.1923077,.03846154,76.92308,19.23077,3.846154
The Fresh Creek School,23,2013,4,23,325,-1.53057886113697,-9.5,.30769232,.03846154,76.92308,19.23077,3.846154
P.S. 327 DR. ROSE B. ENGLISH,21.5,2009,3,86,327,.0852836511134169,-10.5,.091954023,.034482758,79.310349,17.241379,1.1494253
P.S. 327 Dr. Rose B. English,27,2010,3,81,327,-.5192391210846307,-15.5,.18604651,.08139535,82.352943,16.470589,1.1764706
P.S. 327 DR. ROSE B. ENGLISH,23.29999923706055,2011,3,70,327,-.7768676620936983,5.5,.11111111,.027777778,77.46479,22.535212,0
P.S. 327 DR. ROSE B. ENGLISH,29,2012,3,58,327,-.6211805488198644,-6.5,.18181819,.090909094,66.666672,30.303032,1.5151515
P.S. 327 DR. ROSE B. ENGLISH,27,2013,3,54,327,-.8018920268181012,-10.5,.11538462,.01923077,78.846153,19.23077,1.923077
P.S. 327 Dr. Rose B. English,27.29999923706055,2010,4,82,327,-.2564095875916295,-14.5,.14772727,.03409091,84.88372,15.116279,0
P.S. 327 DR. ROSE B. ENGLISH,23.29999923706055,2011,4,70,327,-1.189266096918363,5.5,.20779221,.090909094,76.315788,21.052631,2.6315789
P.S. 327 DR. ROSE B. ENGLISH,31.5,2012,4,63,327,-.9928533643802149,-1.5,.12857144,.057142857,73.91304,26.086956,0
P.S. 327 DR. ROSE B. ENGLISH,32,2013,4,64,327,-1.333883258172526,-.5,.16901408,.084507041,61.971832,33.802814,2.8169014
P.S. 327 DR. ROSE B. ENGLISH,21.70000076293945,2009,5,65,327,-.2550615413651023,.5,.13235295,0,85.294113,14.705883,0
P.S. 327 DR. ROSE B. ENGLISH,24.70000076293945,2011,5,74,327,-.3852298066810619,9.5,.14634146,.060975611,88.75,11.25,0
P.S. 327 DR. ROSE B. ENGLISH,31,2012,5,62,327,-.352344911793629,-2.5,.27536231,.10144927,70.588234,25,2.9411764
P.S. 327 DR. ROSE B. ENGLISH,26,2013,5,52,327,-.5316633876136955,-12.5,.14545454,.090909094,80,20,0
P.S. 327 DR. ROSE B. ENGLISH,19.70000076293945,2009,6,59,327,-.7919441036601536,-5.5,.11666667,.050000001,85,15.000001,0
P.S. 327 Dr. Rose B. English,28,2010,6,56,327,-.3403778689508911,-8.5,.125,.017857144,76.785713,23.214285,0
P.S. 327 DR. ROSE B. ENGLISH,30,2012,6,60,327,-2.181926936231544,-4.5,.2,.12307692,83.076927,15.384616,1.5384616
P.S. 327 DR. ROSE B. ENGLISH,30.5,2013,6,61,327,-1.227511173125473,-3.5,.24285714,.1,72.85714,24.285715,1.4285715
P.S. 328 PHYLLIS WHEATLEY,23,2009,3,46,328,-.8933946310862265,13.5,.10638298,.10638298,44.680851,51.063831,0
P.S. 328 PHYLLIS WHEATLEY,15.30000019073486,2011,3,46,328,-1.852103355502273,13.5,.23076923,.11538462,53.846157,46.153847,0
P.S. 328 PHYLLIS WHEATLEY,28,2013,3,56,328,-1.860308601675512,-8.5,.2264151,.16981132,70.588234,25.490198,3.9215689
P.S. 328 Phyllis Wheatley,20,2010,4,40,328,-1.619123208549122,7.5,.046511628,.069767445,60.465115,39.534885,0
P.S. 328 PHYLLIS WHEATLEY,19.5,2012,4,39,328,-1.586550565949279,6.5,.27659574,.14893617,51.063831,48.936169,0
P.S. 328 PHYLLIS WHEATLEY,18.5,2013,4,37,328,-1.143034680189274,4.5,.17073171,.19512194,48.780487,51.219513,0
P.S. 328 PHYLLIS WHEATLEY,21,2009,5,42,328,-2.256553465539662,9.5,.21276596,.17021276,51.063831,46.80851,2.1276596
P.S. 328 PHYLLIS WHEATLEY,20,2011,5,40,328,-1.636024996624918,7.5,.1,.1,47.5,50,2.5
P.S. 328 PHYLLIS WHEATLEY,17.5,2013,5,35,328,-1.717391929922313,2.5,.3255814,.18604651,51.162792,46.511631,2.3255813
P.S. 328 PHYLLIS WHEATLEY,16.5,2009,6,33,328,-.7269951676779148,.5,.2857143,.095238097,64.285713,35.714287,0
P.S. 328 Phyllis Wheatley,24,2010,6,48,328,-2.340439081471027,15.5,.23404256,.19148937,46.80851,53.19149,0
P.S. 329 SURFSIDE,18.70000076293945,2012,3,56,329,-.6194885800848159,-8.5,.19047619,.063492067,65.079369,23.809525,7.9365082
P.S. 329 SURFSIDE,23.66666666666667,2013,3,71,329,-1.249668764074884,6.5,.18421052,.065789476,69.736847,19.736843,6.5789475
P.S. 329 SURFSIDE,26.5,2013,4,53,329,-.3922925637991025,-11.5,.21538462,.061538462,66.153847,23.076923,7.6923079
P.S. 332 Charles H. Houston,24,2010,3,48,332,-2.002170460330558,15.5,.25,.0625,64.583328,33.333336,0
P.S. 332 CHARLES H. HOUSTON,23,2011,3,46,332,-2.340846852506171,13.5,.21428572,.053571429,71.428574,26.785713,1.7857144
P.S. 332 CHARLES H. HOUSTON,15.30000019073486,2009,4,46,332,-1.704393796050265,13.5,.14285715,.081632651,65.306122,34.693878,0
P.S. 332 CHARLES H. HOUSTON,20,2011,4,40,332,-1.47585626370267,7.5,.32653061,.12244898,59.183674,38.775509,2.0408163
P.S. 332 CHARLES H. HOUSTON,14.5,2012,4,29,332,-1.583704923876634,-3.5,.2,.11428571,68.571434,31.428572,0
P.S. 332 CHARLES H. HOUSTON,19,2009,5,38,332,-1.589389490814809,5.5,.11764706,.05882353,76.470589,23.529411,0
P.S. 332 Charles H. Houston,14.5,2010,5,29,332,-1.404201280839776,-3.5,.16666667,.083333336,75,25,0
P.S. 332 CHARLES H. HOUSTON,17.5,2012,5,35,332,-1.838773379025533,2.5,.42307693,.1923077,57.692307,42.307693,0
P.S. 332 CHARLES H. HOUSTON,7.5,2013,5,15,332,-1.809631829356699,-17.5,.33333334,0,80.952385,19.047619,0
P.S. 332 CHARLES H. HOUSTON,20,2009,6,40,332,-.0125568718732889,7.5,.054054055,.054054055,69.444443,27.777779,0
P.S. 332 Charles H. Houston,15.5,2010,6,31,332,-2.215435255688519,-1.5,.071428575,.10714286,60.714287,35.714287,3.5714288
P.S. 335 Granville T. Woods,15.69999980926514,2010,3,47,335,.2716575931798639,14.5,.19607843,.019607844,81.632652,14.285715,2.0408163
P.S. 335 GRANVILLE T. WOODS,21.5,2011,4,43,335,.5302749037874797,10.5,.24444444,.022222223,83.720932,11.627908,2.3255813
P.S. 335 GRANVILLE T. WOODS,24,2012,4,24,335,-1.231966637945475,-8.5,.2,.06666667,84.444443,15.555556,0
P.S. 335 GRANVILLE T. WOODS,21,2012,5,42,335,-.3135984343058533,9.5,.23809524,.071428575,78.048775,14.634146,4.8780484
P.S. 345 Patrolman Robert Bolden,17.39999961853027,2010,3,87,345,-1.408997924632187,-9.5,.16666667,.09259259,54.629631,40.740742,1.8518518
P.S. 345 Patrolman Robert Bolden,19.4,2013,3,97,345,-1.035685104599732,.5,.15887851,.14018692,45.098038,47.058823,.98039222
P.S. 345 PATROLMAN ROBERT BOLDEN,16.79999923706055,2009,4,101,345,-.7570947426419734,4.5,.14678898,.14678898,54.629631,42.592594,.92592591
P.S. 345 PATROLMAN ROBERT BOLD,25.29999923706055,2011,4,76,345,-.6734037967066104,11.5,.17346939,.081632651,50,43.877552,1.0204082
